Gene,log2FC,p.val,p.adj
Gene1,-0.13107407247095457,0.6904761904761905,0.9725016767270288
Gene10,1.687272346169583,0.007936507936507936,0.11337868480725624
Gene100,1.5425707342738504,0.007936507936507936,0.11337868480725624
Gene101,-0.05321362540163002,0.8412698412698413,1
Gene102,-0.148545982212481,0.09523809523809523,0.5148005148005148
Gene103,-0.12174527235236939,0.5296192990034516,0.9361009361009361
Gene104,-0.1064615690227047,0.42063492063492064,0.9045912271718722
Gene105,-0.036394237260399594,1,1
Gene106,-0.1069152039165119,0.15079365079365079,0.6416751097602161
Gene107,-0.046523342177355924,0.5476190476190477,0.9361009361009361
Gene108,-0.02140433914053275,0.6904761904761905,0.9725016767270288
Gene109,-0.030214613047007875,0.7532980334628382,1
Gene11,-0.08300142496889022,0.5296192990034516,0.9361009361009361
Gene110,-1.6840956927404076,0.007936507936507936,0.11337868480725624
Gene111,-0.07565911543400637,0.8412698412698413,1
Gene112,-0.009533261831482924,0.8412698412698413,1
Gene113,0.1470850250842007,0.20729984031374127,0.6837606837606838
Gene114,-0.08731676773825305,0.15079365079365079,0.6416751097602161
Gene115,0.013141099688066255,1,1
Gene116,-0.1167822333758491,0.30952380952380953,0.7936507936507937
Gene117,0.09318188523959059,0.5476190476190477,0.9361009361009361
Gene118,0.12590247127867268,0.2222222222222222,0.6837606837606838
Gene119,0.15905915302037144,0.15079365079365079,0.6416751097602161
Gene12,-0.06561759305529843,0.2222222222222222,0.6837606837606838
Gene120,-1.6598378692668696,0.011925233593017599,0.11357365326683427
Gene121,0.05474296459443203,0.7525671000692723,1
Gene122,0.08488889758651294,0.6742358755985721,0.9725016767270288
Gene123,0.04582283352858328,0.6904761904761905,0.9725016767270288
Gene124,-0.18191335198137754,0.6742358755985721,0.9725016767270288
Gene125,-0.1250771330501172,0.9163080310833858,1
Gene126,0.040806216387885834,1,1
Gene127,-0.13367843523196937,0.46334388256521714,0.9085174167945433
Gene128,-0.12244716376232809,0.11607394330990016,0.5952509913328213
Gene129,0.02275591406770528,0.6751736149271246,0.9725016767270288
Gene13,0.022648738945200326,0.8412698412698413,1
Gene130,-1.5293336318674535,0.007936507936507936,0.11337868480725624
Gene131,0.22980549516916093,0.2222222222222222,0.6837606837606838
Gene132,-0.13544203965415655,0.46334388256521714,0.9085174167945433
Gene133,-0.12461033464947946,0.09523809523809523,0.5148005148005148
Gene134,-0.06606900965888997,0.7532980334628382,1
Gene135,-0.0099681690912357,0.6904761904761905,0.9725016767270288
